market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN100615-15,yes,buy_fill,57,0.1,,-5.79,1495.8800000000074,1768043040.0,
KXBTC15M-26JAN100615-15,yes,settlement,57,0.1,0.0,-5.7,1495.8800000000074,,False
KXBTC15M-26JAN100700-00,yes,buy_fill,18,0.1,,-1.83,1494.0500000000075,1768045620.0,
KXBTC15M-26JAN100700-00,yes,settlement,18,0.1,0.0,-1.8,1494.0500000000075,,False
KXBTC15M-26JAN100730-30,no,buy_fill,8,0.1,,-0.8200000000000001,1493.2300000000075,1768047420.0,
KXBTC15M-26JAN100730-30,no,buy_fill,54,0.1,,-5.49,1487.7400000000075,1768047480.0,
KXBTC15M-26JAN100730-30,no,sell_fill,62,0.1,0.4,18.330000000000002,1512.2700000000075,1768047600.0,
KXBTC15M-26JAN101045-45,yes,buy_fill,10,0.1,,-1.02,1511.2500000000075,1768059060.0,
KXBTC15M-26JAN101045-45,yes,sell_fill,5,0.1,0.4,1.4700000000000002,1513.2200000000075,1768059120.0,
KXBTC15M-26JAN101045-45,yes,sell_fill,5,0.1,0.4,1.4700000000000002,1515.1900000000076,1768059180.0,
KXBTC15M-26JAN101130-30,yes,buy_fill,100,0.1,,-10.16,1505.0300000000075,1768061940.0,
KXBTC15M-26JAN101130-30,yes,settlement,100,0.1,0.0,-10.0,1505.0300000000075,,False
KXBTC15M-26JAN101230-30,no,buy_fill,6,0.1,,-0.6100000000000001,1504.4200000000076,1768065360.0,
KXBTC15M-26JAN101230-30,no,sell_fill,6,0.10000000000000002,0.4,1.7699999999999998,1506.7900000000075,1768065420.0,
KXBTC15M-26JAN101245-45,no,buy_fill,39,0.1,,-3.97,1502.8200000000074,1768066260.0,
KXBTC15M-26JAN101245-45,no,sell_fill,39,0.1,0.4,11.530000000000001,1518.2500000000075,1768066320.0,
KXBTC15M-26JAN101300-00,yes,buy_fill,11,0.1,,-1.12,1517.1300000000076,1768067340.0,
KXBTC15M-26JAN101300-00,yes,settlement,11,0.1,0.0,-1.1,1517.1300000000076,,False
KXBTC15M-26JAN101345-45,yes,buy_fill,4,0.1,,-0.41000000000000003,1516.7200000000075,1768069860.0,
KXBTC15M-26JAN101345-45,yes,sell_fill,4,0.1,0.4,1.1800000000000002,1518.3000000000075,1768069920.0,
